her_name,list_name,list_pos,bloc_name,bloc_start,bloc_end,bloc2_name,bloc2_start,bloc2_end,education,education_year,pol_history,session,session_id
Mohamed Kamel Hamzaoui,NA,NA,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abada Kefi,NA,NA,Mouvement Nidaa Tounes,2014-12-20,2016-01-20,Bloc Al Horra du Mouvement Machrouu Tounes,NA,NA,NA,NA,NA,NA,NA
Taher Battikh,NA,NA,Mouvement Nidaa Tounes,2015-02-20,2017-10-20,NA,NA,NA,NA,NA,NA,NA,NA
Hatem Ferjani,NA,NA,Mouvement Nidaa Tounes,2014-12-20,2017-09-20,NA,NA,NA,NA,NA,NA,NA,NA
Faten Oueslati,NA,NA,Bloc Social-Démocrate,2014-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salem Hamdi,NA,NA,Mouvement Nidaa Tounes,2014-12-20,2017-02-20,NA,NA,NA,NA,NA,NA,NA,NA
Mehdi Ben Gharbia,NA,NA,Alliance Démocratique,2014-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iyad Dahmani,NA,NA,Bloc Social-Démocrate,2014-12-20,2016-09-20,NA,NA,NA,NA,NA,NA,NA,NA
Riadh Mouakhar,NA,NA,Afek Tounes et l'appel des tunisiens à l'étranger,2014-12-20,2016-09-20,NA,NA,NA,NA,NA,NA,NA,NA
Sayida Ounissi,NA,NA,Mouvement Ennahdha,2014-12-20,2016-09-20,NA,NA,NA,NA,NA,NA,NA,NA
Khaled Chouket,NA,NA,Mouvement Nidaa Tounes,2014-12-20,2016-01-20,NA,NA,NA,NA,NA,NA,NA,NA
Mohsen Hssan,NA,NA,Union Patriotique Libre,2014-12-20,2016-01-20,NA,NA,NA,NA,NA,NA,NA,NA
Hamdi Guezguez,NA,NA,Mouvement Nidaa Tounes,2014-12-20,2015-07-20,NA,NA,NA,NA,NA,NA,NA,NA
Hayet Kebaier,NA,NA,Mouvement Nidaa Tounes,2014-12-20,2015-10-20,NA,NA,NA,NA,NA,NA,NA,NA
Touhami Abdouli,NA,NA,Front Populaire,2014-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
Said Aidi,NA,NA,Mouvement Nidaa Tounes,2014-12-20,2015-02-20,NA,NA,NA,NA,NA,NA,NA,NA
Mohamed Lazhar Akremi,NA,NA,Mouvement Nidaa Tounes,2014-12-20,2015-02-20,NA,NA,NA,NA,NA,NA,NA,NA
Boutheina Ben Yaghlane,NA,NA,Mouvement Ennahdha,2014-12-20,2015-02-20,NA,NA,NA,NA,NA,NA,NA,NA
Yassine Brahim,NA,NA,Afek Tounes et l'appel des tunisiens à l'étranger,2014-12-20,2015-02-20,NA,NA,NA,NA,NA,NA,NA,NA
Salma Elloumi,NA,NA,Mouvement Nidaa Tounes,2014-12-20,2015-02-20,NA,NA,NA,NA,NA,NA,NA,NA
Noomane Fehri,NA,NA,Afek Tounes et l'appel des tunisiens à l'étranger,2014-12-20,2015-02-20,NA,NA,NA,NA,NA,NA,NA,NA
Zied Laadhari,NA,NA,Mouvement Ennahdha,2014-12-20,2015-02-20,NA,NA,NA,NA,NA,NA,NA,NA
Oussama Al Saghir,NA,NA,Mouvement Ennahdha,2014-12-20,2015-02-20,NA,NA,NA,NA,NA,NA,NA,NA
Marouan Felfel,NA,NA,Mouvement Nidaa Tounes,2016-01-20,2016-03-20,Bloc Al Horra du Mouvement Machrouu Tounes,NA,NA,NA,NA,NA,NA,NA
